"","X13_Trophic.lvl_2.2.5","X13_Trophic.lvl_2.6.3.5","X13_Trophic.lvl_3.6.4.5","X13_Trophic.lvl_4.6.5","X14_Feeding.type_grazing","X14_Feeding.type_ambusher","X14_Feeding.type_active.predator","X15_Diet_herbivore","X15_Diet_zoobenthivore","X15_Diet_detritus","X15_Diet_omnivore","X15_Diet_zooplankton","X15_Diet_piscivore","X17_Spawning.habitat_pelagic","X17_Spawning.habitat_benthic","X5_Max.length_20cm","X5_Max.length_20.50cm","X5_Max.length_50.100cm","X5_Max.length_100cm","X16_Spawning.period_spring","X16_Spawning.period_summer","X16_Spawning.period_autumn","X16_Spawning.period_winter"
"Sard pil",0,0.843,0.157,0,1,0,0,0.186666667,0.093333333,0,0,0.72,0,1,0,1,0,0,0,0.333333333,0.146666667,0.226666667,0.293333333
"Sard aur",0.0482,0.508967,0.399166,0.043667,1,0,0,0.242424242,0.212121212,0.03030303,0,0.515151515,0,1,0,0.277173913,0.722826087,0,0,0.162790698,0.348837209,0.209302326,0.279069767
"Scom sco",0,0.3285,0.6715,0,0.727272727,0,0.272727273,0,0.272727273,0,0,0.454545455,0.272727273,1,0,0.05,0.95,0,0,0.409090909,0.590909091,0,0
"Scor not",0,0.206,0.787,0.007,0.875,0.125,0,0,0.875,0,0,0,0.125,1,0,0.885826772,0.114173228,0,0,0,0.625,0.375,0
"Scor por",0,0.021,0.979,0,0.761904762,0.238095238,0,0.05952381,0.69047619,0,0,0.011904762,0.238095238,1,0,0.929032258,0.070967742,0,0,0.148148148,0.777777778,0.074074074,0
"Scyl can",0,0.157,0.836,0.007,0.696969697,0,0.303030303,0,0.666666667,0,0,0.03030303,0.303030303,0,1,0,1,0,0,0.25,0.333333333,0.166666667,0.25
"Sepi ele",0.0482,0.4518,0.433667,0.066333,0.75,0,0.25,0,0.75,0,0,0,0.25,0,1,1,0,0,0,0.25,0.25,0.25,0.25
"Sepi off",0.0168,0.4146,0.5204,0.0482,0.696428571,0,0.303571429,0.017857143,0.589285714,0,0,0.089285714,0.303571429,0,1,0.995495495,0.004504505,0,0,0.410958904,0.342465753,0.04109589,0.205479452
"Sepi orb",0.0035,0.1535,0.571667,0.271333,0.333333333,0,0.666666667,0,0.333333333,0,0,0,0.666666667,0,1,1,0,0,0,0.25,0.25,0.25,0.25
"Serr cab",0.043667,0.399166,0.4455,0.111667,0.819672131,0,0.180327869,0.016393443,0.754098361,0,0,0.049180328,0.180327869,1,0,0.919854281,0.080145719,0,0,0.533333333,0.444444444,0,0.022222222
"Serr hep",0.040429,0.345238,0.49619,0.118143,0.818181818,0,0.181818182,0,0.818181818,0,0,0,0.181818182,1,0,1,0,0,0,0.333333333,0.5,0.166666667,0
"Serr scr",0,0.157,0.836,0.007,0.9375,0,0.0625,0,0.9375,0,0,0,0.0625,0,1,0.892063492,0.107936508,0,0,0.4,0.6,0,0
"Siga lur",1,0,0,0,1,0,0,0.846153846,0.076923077,0.076923077,0,0,0,0,1,1,0,0,0,0.285714286,0.714285714,0,0
"Siga riv",1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0.071428571,0.642857143,0.214285714,0.071428571
"Sole sol",0.118143,0.49619,0.345238,0.040429,0.962962963,0,0.037037037,0.049382716,0.864197531,0.012345679,0,0.037037037,0.037037037,1,0,0,1,0,0,0.633333333,0.166666667,0,0.2
"Sole mem",0,0.5,0.5,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.5,0,0.5
"Spar cre",0.111667,0.874333,0.014,0,1,0,0,0.333333333,0.333333333,0,0,0.333333333,0,0,1,0.2,0.7,0.1,0,0,0.5,0.5,0
"Spar aur",0.014,0.3488,0.570867,0.066333,0.857142857,0,0.142857143,0.023809524,0.761904762,0,0,0.071428571,0.142857143,1,0,0.105263158,0.894736842,0,0,0,0,0.5,0.5
"Sphy chr",0.003,0.252,0.49,0.255,0.666666667,0,0.333333333,0,0.333333333,0,0,0.333333333,0.333333333,1,0,0.3,0.7,0,0,0.071428571,0.357142857,0.571428571,0
